serial,serial_norm,color,last_seen,stockout_date,reorder_date,last_ship_date,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,offset_days,should_order_now,slope_7d,slope_14d,slope_30d,var_14d,cycle_age_days,points_in_cycle,days_since_reset,pct,mean_ship_interval,n_ships_180d,err_days
35N00735,35N00735,black,2023-12-13,2023-12-13,2023-12-13,2025-02-17,1,48,-1.4703,0.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,110.0
35N00735,35N00735,black,2023-12-13,2023-12-13,2023-12-13,2025-02-17,1,48,-1.4703,0.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,35.0
35N00735,35N00735,black,2023-12-13,2023-12-13,2023-12-13,2025-02-17,1,48,-1.4703,0.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,32.0
35N00735,35N00735,black,2024-03-22,2024-03-22,2024-03-22,2025-02-17,2,30,-1.694,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,61.0
35N00735,35N00735,black,2024-03-22,2024-03-22,2024-03-22,2025-02-17,2,30,-1.694,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,-39.0
35N00735,35N00735,black,2024-03-22,2024-03-22,2024-03-22,2025-02-17,2,30,-1.694,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,110.0
35N00735,35N00735,black,2024-03-22,2024-03-22,2024-03-22,2025-02-17,2,30,-1.694,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,35.0
35N00735,35N00735,black,2024-03-22,2024-03-22,2024-03-22,2025-02-17,2,30,-1.694,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,32.0
35N00735,35N00735,black,2024-06-12,2024-06-12,2024-06-12,2025-02-17,3,31,-0.7319,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,61.0
35N00735,35N00735,black,2024-06-12,2024-06-12,2024-06-12,2025-02-17,3,31,-0.7319,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,-39.0
