serial;serial_norm;relation_type;color;cycle_id;points_used;slope_pct_per_day;level_now_pct;days_left_est;last_seen;stockout_date;offset_days;reorder_date;should_order_now;rs_n_cycles;rs_mean_cycle_len_days;rs_max_cycle_len_days;rs_last_seen;rs_last_reset;rs_days_since_last_reset;rs_has_reset;us_mean_daily_pct_drop;us_median_daily_pct_drop;us_peak_daily_pct_drop;us_mean_pct_drop_per_cycle;us_has_usage_data;m_total_pages;m_n_records;m_ratio_color;m_ratio_a3;m_daily_mean;m_daily_std;m_total_pages_last30;m_total_pages_last7;month;dayofweek;week;ml_offset_days_v21;last_seen_dt;stockout_date_ml_v21;days_left_ml_v21;reference_date;days_left_v21
$XAUV000300$;$XAUV000300$;contrat_adex;magenta;1;580;-0.5788;3.0;5.2;2024-06-25 13:04:00;2024-06-30;-8;2024-07-08;False;2;105.5;189;2024-06-25 13:04:00;2023-12-19 14:34:00;188.0;1;0.6825520833333333;0.75;4.0;55.5;1.0;;;;;;;;;6;1;26;-5.869844;2024-06-25 13:04:00;2024-06-24 03:07:25.481872563;0.0;2024-06-25 13:04:00;0.0
$XAUV000300$;$XAUV000300$;contrat_adex;yellow;2;577;-0.6772;81.0;119.6;2024-06-25 13:04:00;2024-10-23;-11;2024-11-03;False;3;70.33333333333333;176;2024-06-25 13:04:00;2024-05-30 14:34:00;25.0;1;0.7519685039370079;0.5;4.0;40.0;1.0;;;;;;;;;6;1;26;-9.099345;2024-06-25 13:04:00;2024-10-13 21:36:56.574096676;110.0;2024-06-25 13:04:00;0.0
$XAUV000804$;$XAUV000804$;contrat_adex;cyan;3;31;-0.427;1.0;2.3;2025-12-30 14:42:00;2026-01-01;1;2025-12-31;True;4;202.25;359;2025-12-30 14:42:00;2025-09-18 14:42:00;103.0;1;0.3747863247863248;0.0;14.0;75.25;1.0;;;;;;;;;12;1;1;0.0640573;2025-12-30 14:42:00;2026-01-01 01:32:14.550547597;1.0;2025-12-30 14:42:00;1.0
$XAUV000804$;$XAUV000804$;contrat_adex;yellow;3;31;-0.8105;15.0;18.5;2025-12-30 14:42:00;2026-01-18;-11;2026-01-29;False;4;202.5;371;2025-12-30 14:42:00;2025-09-23 14:42:00;98.0;1;0.3658119658119658;0.0;12.0;73.25;1.0;;;;;;;;;12;1;1;-10.2342205;2025-12-30 14:42:00;2026-01-07 18:22:43.348388676;8.0;2025-12-30 14:42:00;7.0
$XAUV001456$;$XAUV001456$;contrat_adex;yellow;3;31;-0.1129;1.0;8.9;2025-12-30 14:32:00;2026-01-08;-11;2026-01-19;False;4;201.25;420;2025-12-30 14:32:00;2024-11-06 14:20:00;419.0;1;0.3473602598067648;0.0;14.0;69.0;1.0;;;;;;;;;12;1;1;-10.782618;2025-12-30 14:32:00;2025-12-28 05:13:01.842041018;0.0;2025-12-30 14:32:00;0.0
$XAUV001493$;$XAUV001493$;contrat_adex;yellow;5;31;-0.6033;11.0;18.2;2025-12-30 14:32:00;2026-01-17;-11;2026-01-28;False;6;92.0;137;2025-12-30 14:32:00;2025-09-09 14:30:00;112.0;1;1.041961338991042;0.0;61.0;82.5;1.0;;;;;;;;;12;1;1;-10.659553;2025-12-30 14:32:00;2026-01-06 08:10:14.657592775;6.0;2025-12-30 14:32:00;6.0
$XAUV002416$;$XAUV002416$;contrat_adex;magenta;3;31;-0.3153;1.0;3.2;2025-12-30 14:32:00;2026-01-02;-8;2026-01-10;False;4;199.25;315;2025-12-30 14:32:00;2025-02-19 14:20:00;314.0;1;0.39420375787282264;0.0;5.0;73.5;1.0;;;;;;;;;12;1;1;-6.346926;2025-12-30 14:32:00;2025-12-26 15:40:25.575256347;0.0;2025-12-30 14:32:00;0.0
$XAUV003628$;$XAUV003628$;contrat_adex;magenta;1;30;-0.2068;3.0;14.5;2025-12-30 14:18:00;2026-01-14;-8;2026-01-22;False;2;302.0;400;2025-12-30 14:18:00;2024-11-25 14:33:00;399.0;1;0.19518382851716184;0.0;4.0;44.0;1.0;;;;;;;;;12;1;1;-8.288444;2025-12-30 14:18:00;2026-01-05 17:04:38.475952145;6.0;2025-12-30 14:18:00;5.0
$XAUV003850$;$XAUV003850$;contrat_adex;magenta;1;15;-0.1964;1.0;5.1;2025-12-30 14:21:00;2026-01-04;-8;2026-01-12;False;2;59.0;89;2025-12-30 14:21:00;2025-10-03 13:00:00;88.0;1;0.8532608695652174;0.25;4.0;48.5;1.0;;;;;;;;;12;1;1;-6.9964066;2025-12-30 14:21:00;2025-12-28 00:05:10.473632811;0.0;2025-12-30 14:21:00;0.0
$XAUV003850$;$XAUV003850$;contrat_adex;yellow;1;15;-0.3393;1.0;2.9;2025-12-30 14:21:00;2026-01-02;-11;2026-01-13;False;2;59.0;89;2025-12-30 14:21:00;2025-10-03 13:00:00;88.0;1;0.842391304347826;0.0;5.0;48.5;1.0;;;;;;;;;12;1;1;-8.086669;2025-12-30 14:21:00;2025-12-24 21:55:11.801147460;0.0;2025-12-30 14:21:00;0.0
